Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2025-03-29 11:38 UTC,N/A,false,N/A,
Ethical Hacking: Social Engineering,"<p>Social engineering is a technique hackers use to manipulate end users and obtain information about an organization or computer systems. In order to protect their networks, IT security professionals need to understand social engineering, who is targeted, and how social engineering attacks are orchestrated.</p><p>In this course, cybersecurity expert Lisa Bock discusses the methods a hacker might use, including embedding malicious links and attachments in emails and using mobile devices and social media to deploy an attack. She discusses the concept of ""misuse of trust""—how hackers use charm, power, and influence to penetrate an organization—and why you need to be extra cautious with the disgruntled employee. Finally, Lisa discusses countermeasures security professionals can take to address these attacks.</p><p>Note: This course maps to the Social Engineering competency of the Certified Ethical Hacker exam. You can review the exam objectives on the official <a href=""https://www.eccouncil.org/programs/certified-ethical-hacker-ceh/"" target=""_blank"">EC-Council website</a>.</p>",Course,2024-07-11 15:51 UTC,N/A,false,N/A,
Machine Learning Fundamentals for Healthcare,"<p>There’s an increased demand to integrate AI and machine learning workflows into many different business sectors. This is especially true in today’s unique and constantly evolving global healthcare landscape.</p><p>In this course, instructor Wuraola Oyewusi provides an overview of how AI and machine learning can optimize healthcare processes, data analysis, health outcomes, and more. Along the way, gather insights drawn from real-world examples to address complex privacy and ethical considerations in the industry. Wuraola also shows you how to utilize machine learning for tabular healthcare datasets using a Google Colab Notebook, including clinical records, classification, predictions, regression, clustering, and localization.</p>",Course,2024-07-19 09:33 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-15 23:52 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2018-12-29 11:16 UTC,N/A,false,N/A,
Confident Performance: Excelling When It Counts,"Does confidence come from being great at what you do? Or does feeling confident actually lead you to becoming great? In this course, TJ Guttormsen teaches you how to perform confidently, no matter what level of skill you currently have—without veering into being delusional or arrogant. TJ explains how to create realistic expectations for your outcomes and abilities, and how to communicate those to others so that even when you know that you're not great at something (yet), you can still do it without feeling nervous or stressed.
Learn how to deal with and understand your own confidence-hindering emotions; minimize self-imposed pressure and overcome perfectionism, self-doubt, fear of judgment; deal with stress during your performance; and more.",Course,2024-12-27 23:18 UTC,N/A,false,N/A,
Nano Tips for Leading Diverse Teams with Watchen Nyanue,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join Watchen Nyanue Hampton—thought leader, career architect, and the founder of I Choose The Ladder—as she shares practical, easy-to-use strategies for navigating diverse team dynamics and reaching your full leadership potential.</p><p>Learn how to bridge the gap between effort and attitude, find comfort in discomfort, and value everyone’s unique lived experience. Get tips on establishing rules of engagement and creating clearly defined communication channels. Along the way, Watchen offers insights to help you build your awareness of team blindspots, embrace conflict, rotate meeting leadership, practice mindful communication, and celebrate success. By the end of this course, you’ll be equipped with the skills you need to lead your team with professional poise and aplomb.<p>",Course,2025-03-21 15:36 UTC,N/A,false,N/A,
Generative AI Tools for Productivity and Research,"Artificial intelligence is growing rapidly, affecting nearly every industry, and it’s not going anywhere. If you’re feeling overwhelmed by the onslaught of AI tools or just feeling out of the loop with the speedy changes in the AI landscape, check out this course with instructor Wuraola Oyewusi. Wuraola explores a wide range of generative AI tools from text to image, language generation with chatbots (Google Gemini, Microsoft Copilot), research (Elicit AI, Litmaps, SciSpace). She shows you how to write, visualize, extract, parse, search, and distill scientific and academic research content. Learn about getting set up, prompting, finding the right tool, and more, and discover how you can use generative AI tools to improve research productivity.",Course,2025-06-28 18:33 UTC,N/A,false,N/A,
DevOps Foundations: Lean and Agile (2017),"By applying lean and agile principles, engineering teams can deliver better systems and better business outcomes—both of which are crucial to the success of DevOps. In this course, instructors Ernest Mueller and Karthik Gaekwad discuss the theories, techniques, and benefits of agile and lean. Learn how they can be applied to operations teams to create a more effective flow from development into operations and accelerate your path of ""concept to cash."" In addition to key concepts, you can hear in-the-trenches examples of implementing lean and agile in real-world software organizations.",Course,2021-07-23 02:50 UTC,N/A,false,N/A,
Learning Google Tag Manager,"Google Tag Manager is a hugely popular technology that allows marketers to easily manage all their website and app tags from one central tool. This, in turn, frees marketers from their dependency on IT or web development departments—when they want to add or alter a snippet of analytics or tracking code, they can do it themselves by adding it to the existing tag container. This course shows marketers how to effectively leverage Google Tag Manager. Discover how to best work with accounts and containers, leverage the Google Analytics built-in tags, work with control versions and user access, create custom variables and JavaScript, fire Google Analytics events using triggers, and more. Plus, discover crucial time-saving best practices that will help you avoid many common mistakes.",Course,2024-08-07 00:40 UTC,N/A,false,N/A,
Developing Executive Presence,"Learn to project self-confidence, clarity, and credibility even under conditions of stress, pressure, and uncertainty. In this course, John Ullmen, PhD, a professor from the UCLA Anderson School of Management, shares key research insights and step-by-step methods he uses to coach leaders around the world to develop executive presence. He outlines the four key factors that drive executive presence, and the specific actions that make them work for you.  He also explains the difference between internal and external presence, and how to enhance both to increase your self-assurance and self-possession. He addresses how to do all of this without being fake or feeling inauthentic, and how to be ""fully present, persistently.""",Course,2018-12-29 11:07 UTC,N/A,false,N/A,
Nano Tips to Build Authority on LinkedIn with Shadé Zahrai & Jasmin Alić,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Shadé Zahrai and Jasmin Alić show you how to create impactful LinkedIn content that delivers real value, builds engagement, and strengthens professional connections. Develop skills to format posts effectively, engage with comments, and subtly showcase their expertise without sounding overly promotional. Through storytelling, video strategies, and permission-based selling, learn how to enhance your LinkedIn presence and create content that resonates with your audience.",Course,2025-10-07 02:35 UTC,N/A,false,N/A,
Managing Anxiety Triggers with Effective Techniques,"<p>Imagine you are having an anxious moment at work. Instead of letting yourself slip into old patterns of negative thoughts or self-criticisms, you can take a step back and try something new. Maybe move around, go out for lunch, drink some water—just don’t start doom scrolling. Emma Seppala is a lecturer at Yale, and in this course, she details techniques on how to manage anxiety. Emma explains that anxiety is telling you something, and by asking yourself ""what do you need?"" you can reclaim your power and energy. Check out this course to learn how to better deal with anxiety and stop subjecting yourself to self-destructive beliefs and behaviors. 
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-02-19 02:06 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-13 03:58 UTC,N/A,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2025-08-20 22:16 UTC,N/A,false,N/A,
Demystifying Agentic AI with ChatGPT: Elevate Your Skills and Unlock New Potential,"Explore the power of agentic AI in this course with instructor Jules White. Jules simplifies the concept of agentic AI, helping you understand how to interact with and harness these intelligent agents effectively. Imagine agents autonomously scheduling meetings, drafting tailored reports, or even managing customer inquiries—all while you focus on strategic tasks. Learn how these agents work and gain the fundamental knowledge to start building AI in a new way, revolutionizing your approach to productivity and innovation.",Course,2025-07-19 10:10 UTC,N/A,false,N/A,
How to Get Started on Tasks You're Avoiding,"There may be times in your career when you avoid certain tasks, due to a variety of reasons. This course, taught by Ali Schiller, provides the tools and techniques to overcome task avoidance and get started on daunting tasks. Assess your energy blocks and understand the psychological factors behind procrastination. Create a personal action plan tailored to your specific needs. After this course, you'll be equipped to overcome procrastination and boost your productivity.",Course,2025-02-02 14:18 UTC,N/A,false,N/A,
Creating Your First Marketing Videos on LinkedIn Nano Tips with Shay Rowbottom,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, Shay Rowbottom teaches expert tips on creating and sharing your videos on LinkedIn to market your business. Shay explains the factors to consider when making your first video, like topics to cover, video quality concerns, and video lengths. She then explains how to use your videos as a marketing tool to get you noticed.",Course,2025-08-08 22:08 UTC,N/A,false,N/A,
Learning Functional Programming with JavaScript ES6+,"Want to write more robust, maintainable code? In this course, discover how this can be accomplished with functional programming, and learn about the functional concepts at the heart of many JavaScript frameworks and programs. Functional programming is a radically different way of writing code. While at first it may seem a bit counterintuitive, once you get comfortable with it, you may find that your code becomes much easier to maintain, as well as more performant. This course aims to teach you everything you need to know to start taking advantage of the incredible power of functional programming in your own code, starting with the basics and going all the way up to more advanced concepts such as recursion, partial application, currying, and more.",Course,2025-01-16 01:49 UTC,N/A,false,N/A,
Adaptive Leadership for Today's Challenges,"<p>Anyone who leads an organization or an organization-wide effort will tell you that things are moving faster, and the challenges are more complex. This is the reality of work, now and for the foreseeable future. To thrive in this environment, leaders must be adaptive and responsive to the rapid and ever-changing world. In this course, internationally-known systems scientist and Cornell University professor Derek Cabrera shows you the key principles of adaptive leadership. Learn how to become an adaptive leader and dive into a powerful framework that will enable your organization to tackle any problem, issue, or situation. Find out how this framework can yield innovative solutions that will have a meaningful impact for the long term. Plus, explore ways to apply the adaptive leadership tools to some of today's greatest challenges. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-senior-manager-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-04-04 23:03 UTC,N/A,false,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-06-16 02:29 UTC,N/A,false,N/A,
C#: Interfaces and Generics (2015),"Take your C# coding skills to the next level by learning to use interfaces and generics in this course with programming expert Joe Marini. Interfaces provide a way of implementing common types of behaviors that can be reused across multiple classes. Interfaces keep your code nimble, compact, and efficient. Generics, on the other hand, help you work with strongly typed data collections, without having to commit to a data type ahead of time. Used in combination, these features make your C# projects easier to build and scale, with fewer bugs and performance issues along the way. Start watching to learn how to integrate interfaces and generics into your projects today.",Course,2020-01-01 13:43 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2022-02-18 14:20 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:142020,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:142020,Course,2018-07-29 11:31 UTC,N/A,false,N/A,
"Italian, Part 4: Using and Expanding Your Skills","<p>Explore the beauty and diversity of Italy’s history, culture, and cuisine as you learn how to handle real-life conversations in Italian. Tuscany is perhaps Italy’s most celebrated and popular region, and the cradle of the Renaissance. This course—the fourth in a four-part series from The Great Courses covers Tuscany's breathtaking medieval cities, beloved food specialties, and iconic artists and writers. See how the <i>passato prossimo</i> tense is used with the auxiliary verb ""essere."" Study expressions of time, and practice your skills in describing the life of Florentine painter Sandro Botticelli.</p>

<p><b>About the instructor</b><br><br>
Kristina Olson is an associate professor of Italian and the Italian program coordinator at George Mason University, where she has taught Italian language, literature, and cinema since 2005. She earned her PhD in Italian from Columbia University. Professor Olson is the author of <i>Courtesy Lost: Dante, Boccaccio, and the Literature of History</i> and several articles on Dante, Boccaccio, and Petrarch. She is the coeditor of <i>Open City: Seven Writers in Postwar Rome</i>; <i>Boccaccio 1313–2013</i>; and the second edition of <i>Approaches to Teaching Dante’s Divine Comedy</i> with the Modern Language Association. Professor Olson is the president of the American Boccaccio Association and was the vice president of the Dante Society of America.</p>",Course,2025-08-09 15:05 UTC,N/A,false,N/A,
Breaking the Anxiety Habit,"<p>For many of us, anxiety is a partner on our journey of life: it is always there. But a helpful reframe could also be the idea that anxiety is a habit we have created. And the good news is that habits are something we can break. In this course, two well respected experts—Dr. Judson Brewer and Charles Duhigg—weigh in on how to recognize the anxiety habit at work, as well as steps you can take to break the habit. </p>

<p>This course was created by Morra Aarons-Mele of The Anxious Achiever. We are pleased to offer this insightful discussion in our library.</p>",Course,2025-02-20 22:53 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2025-08-04 21:18 UTC,N/A,false,N/A,
The AI-Driven Product Designer,"In this course, Drew Falkman—a product strategist and startup advisor—explores how AI is transforming software product design and management in this comprehensive course. Learn to leverage advanced AI tools to optimize product strategy, UX research, prototyping, and code development. Identify key insights faster than ever using enhanced methods for user research and analytics with tools like Craft Full and Strela. Utilize tools like Wizard, Reloom, and Figma AI to create and iterate on prototypes. Master the integration process to transform your designs into functional code using builder.io and Lovable's no-code solutions. Delve into ethical considerations and security practices to effectively manage data and AI dependencies. By the end of this course, you will be able to dramatically streamline your product design process and stay ahead in the fast-evolving tech landscape.",Course,2025-06-22 22:09 UTC,N/A,false,N/A,
Mindful Communication for Less Conflict and Stronger Relationships,"<p>In this course, communication professor Melanie Whitney teaches the foundations of mindful communication in order to speak with greater emotional intelligence, self-awareness, and conflict competence. She first helps you identify ways that your ego impacts your communication and ways to spot and lessen your reactivity while communicating. She then outlines techniques to deepen self-awareness while communicating by recognizing the ways you communicate with yourself, and shares simple mindfulness strategies to stay present during communication with others. Finally, she shows you how to navigate even the most challenging conversations through mindful listening and shares strategies to communicate in ways that invite connection and alignment.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2025-10-10 02:03 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-01-25 14:41 UTC,N/A,false,N/A,
C# Algorithms,"Algorithms are one of the fundamental pillars in every software application, and once you understand them, you can create more efficient and maintainable programs. In this course, instructor Kathryn Hodge uses instruction and hands-on practice to show you how to create better C# programs by using efficient algorithms. Kathryn discusses what makes an algorithm effective, as well as how to make informed assumptions about your data to create better algorithms. She focuses on how to create efficient algorithms to work with different types of data, including strings, arrays, linked lists, queues, stacks, hash-based structures, and trees. Many algorithms are built into the C# language, and Kathryn covers how to use these to create your own custom algorithms, so you can work with your data exactly the way you want. She also dives into how to leverage different data structures to create better algorithms in analyzing or manipulating their data.",Course,2023-10-01 22:00 UTC,N/A,false,N/A,
Learning Microsoft 365 (Office 365),"Get a tour of Microsoft 365, the cloud version of Microsoft Office. In this course, David Rivers shows how to access your M365 account and work with apps, both desktop and browser versions. Dave demonstrates how to create and work with files in OneDrive and sites in SharePoint. He also introduces the basics of working with Teams, the chat/collaboration tool that has become the hub of M365.",Course,2022-07-25 15:47 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2025-07-15 10:16 UTC,N/A,false,N/A,
Arabic for Absolute Beginners,"<p>Brand new to Arabic? This course is a simple but comprehensive audio course designed to be the easiest way to start learning and speaking Arabic. Learning Arabic can be easy or hard, and it all depends on <em>how</em> you start. Start the hard way (reading grammar and memorizing words), and you’ll quickly think, “Languages are just not my thing.” Start easy, and you’ll be shocked by how much Arabic you’ll learn. Learn from real native speakers to get accustomed to the flow of Arabic —which you won’t get from Apps and textbooks. Hear everyday conversations to learn practical dialogue. And start speaking everyday Arabic from your first lesson.
</p><P>
This course also includes a PDF that covers everything from the audio tracks and much more. 
</p><P>
This course was created by InnovativeLanguage.com. We are pleased to host the course in our library.",Course,2025-08-17 13:18 UTC,N/A,false,N/A,
